domain,mode,operation,time_scope_type,time_scope_value
reminders,info,list,absolute,1y
reminders,info,list,all,today
reminders,info,list,all,today_morning
reminders,info,list,all,today_day
reminders,info,list,all,today_afternoon
reminders,info,list,all,today_evening
reminders,info,list,all,tomorrow_morning
reminders,info,list,all,7d
reminders,info,list,all,30d
reminders,info,list,all,3m
reminders,info,list,all,1y
reminders,info,exists,relative,today
reminders,info,exists,relative,today_morning
reminders,info,exists,relative,today_day
reminders,info,exists,relative,today_afternoon
reminders,info,exists,relative,today_evening
reminders,info,exists,relative,tomorrow_morning
reminders,info,exists,relative,7d
reminders,info,exists,relative,30d
reminders,info,exists,relative,3m
reminders,info,exists,relative,1y
reminders,info,exists,absolute,today
reminders,info,exists,absolute,today_morning
reminders,info,exists,absolute,today_day
reminders,info,exists,absolute,today_afternoon
reminders,info,exists,absolute,today_evening
reminders,info,exists,absolute,tomorrow_morning
reminders,info,exists,absolute,7d
reminders,info,exists,absolute,30d
reminders,info,exists,absolute,3m
reminders,info,exists,absolute,1y
reminders,info,exists,all,today
reminders,info,exists,all,today_morning
reminders,info,exists,all,today_day
reminders,info,exists,all,today_afternoon
reminders,info,exists,all,today_evening
reminders,info,exists,all,tomorrow_morning
reminders,info,exists,all,7d
reminders,info,exists,all,30d
reminders,info,exists,all,3m
reminders,info,exists,all,1y
reminders,info,sum,relative,today
reminders,info,sum,relative,today_morning
reminders,info,sum,relative,today_day
reminders,info,sum,relative,today_afternoon
reminders,info,sum,relative,today_evening
reminders,info,sum,relative,tomorrow_morning
reminders,info,sum,relative,7d
reminders,info,sum,relative,30d
reminders,info,sum,relative,3m
reminders,info,sum,relative,1y
reminders,info,sum,absolute,today
reminders,info,sum,absolute,today_morning
reminders,info,sum,absolute,today_day
reminders,info,sum,absolute,today_afternoon
reminders,info,sum,absolute,today_evening
reminders,info,sum,absolute,tomorrow_morning
reminders,info,sum,absolute,7d
reminders,info,sum,absolute,30d
reminders,info,sum,absolute,3m
reminders,info,sum,absolute,1y
reminders,info,sum,all,today
reminders,info,sum,all,today_morning
reminders,info,sum,all,today_day
reminders,info,sum,all,today_afternoon
reminders,info,sum,all,today_evening
reminders,info,sum,all,tomorrow_morning
reminders,info,sum,all,7d
reminders,info,sum,all,30d
reminders,info,sum,all,3m
reminders,info,sum,all,1y
reminders,info,latest,relative,today
reminders,info,latest,relative,today_morning
reminders,info,latest,relative,today_day
reminders,info,latest,relative,today_afternoon
reminders,info,latest,relative,today_evening
reminders,info,latest,relative,tomorrow_morning
reminders,info,latest,relative,7d
reminders,info,latest,relative,30d
reminders,info,latest,relative,3m
reminders,info,latest,relative,1y
reminders,info,latest,absolute,today
reminders,info,latest,absolute,today_morning
reminders,info,latest,absolute,today_day
reminders,info,latest,absolute,today_afternoon
reminders,info,latest,absolute,today_evening
reminders,info,latest,absolute,tomorrow_morning
reminders,info,latest,absolute,7d
reminders,info,latest,absolute,30d
reminders,info,latest,absolute,3m
reminders,info,latest,absolute,1y
reminders,info,latest,all,today
reminders,info,latest,all,today_morning
reminders,info,latest,all,today_day
reminders,info,latest,all,today_afternoon
reminders,info,latest,all,today_evening
reminders,info,latest,all,tomorrow_morning
reminders,info,latest,all,7d
reminders,info,latest,all,30d
reminders,info,latest,all,3m
reminders,info,latest,all,1y
mail,info,count,relative,today
mail,info,count,relative,today_morning
mail,info,count,relative,today_day
mail,info,count,relative,today_afternoon
mail,info,count,relative,today_evening
mail,info,count,relative,tomorrow_morning
mail,info,count,relative,7d
mail,info,count,relative,30d
mail,info,count,relative,3m
mail,info,count,relative,1y
mail,info,count,absolute,today
mail,info,count,absolute,today_morning
mail,info,count,absolute,today_day
mail,info,count,absolute,today_afternoon
mail,info,count,absolute,today_evening
mail,info,count,absolute,tomorrow_morning
mail,info,count,absolute,7d
mail,info,count,absolute,30d
